Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
token ID,مُعرفّ التوكِنّ,代币 ID,代幣ID,token-ID,ID de jeton,Token-ID,ID συμβολικού νομίσματος,Sunan Token,टोकन ID,token-azonosító,ID Token,ID Token,トークン ID,토큰 ID,شناسه توکن,ID Token,Token identification number,ID tokena,ID do token,ID token,ID токена,ID de token,ID ng Token,ID โทเค็น,Token kimliği,ID токена,ID token,
token lockup,احتجاز التوكِنّ,代币锁定,代幣鎖倉,token-lock-up,blocage de jetons,Token-Lockup,κλείδωμα συμβολικών νομισμάτων,Kulle kadara ta dijita,टोकन लॉकअप,token zárolás,pencarian token,lock-up del token,トークンロックアップ,토큰 락업,قفل شدن توکن,penguncian token,hold your coin small time,Lock-up tokena,bloqueio de token,blocare token,блокировка токена,bloqueo de tokens,pag-lock ng token,ล็อกโทเค็น,token kilitlenmesi,блокування токенів,khoá token,
token standard,معيار التوكِنّ,代币标准,代幣標準,tokenstandaard,Jeton standard,Token-Standard,Τυπικό συμβολικό νόμισμα,Daidaitacce Token,टोकन स्टैंडर्ड,zseton szabvány,Standar token,Standard del Token,トークン規格,토큰 표준,استاندارد توکن,Piawaian token,Rules wey tokens dey follow,Standard tokena,Padrão de token,standard de token,Стандарт токена,Estándar de tokenes,Pamantayan ng token,มาตรฐานโทเค็น,Token standardı,Стандарт токенів,Tiêu chuẩn token,
transaction,المعاملة,交易,交易,transactie,Transaction,Transaktion,Συναλλαγή,Ma'amala,ट्रांसेक्शन,tranzakció,transaksi,Transazione,トランザクション,트랜잭션,تراکنش,Transaksi,Moving your crypto around like you dey move money,Transakcja,Transação,Tranzacție,Транзакция,transacción,Transaksyon,ธุรกรรม,İşlem,Транзакція,Giao dịch,
transaction block,كتلة المعاملة,交易区块,交易區塊,transactieblok,bloc de transactions,Transaktionssperre,block συναλλαγής,sassan ma'amala,ट्रांसेक्शन ब्लॉक,tranzakciós blokk,block transaksi,blocco transazione,トランザクションブロック,트랜잭션 블록,بلاک تراکنش,blok transaksi,Block wey get transaction details,Block transakcji,bloco de transação,bloc tranzacții,блок транзакции,bloque de transacciones,block ng transaksyon,บล็อกธุรกรรม,işlem bloku,блок транзакцій,khối giao dịch,
transaction fee,رسوم المعاملة,交易费用,交易手續費,transactiekosten,Frais de transaction,Transaktionsgebühr,προμήθεια συναλλαγής,kudin ma'amala,ट्रांसेक्शन फीस,tranzakciós díj,biaya transaksi,commissione transazione,トランザクション手数料,트랜잭션 수수료,کارمزد تراکنش,bayaran transaksi,Money wey you dey pay for transaction,Opłata za transakcje,taxa de transação,comision tranzacție,комиссия за транзакцию,tarifa de transacción,bayad sa transaksyon,ค่าธุรกรรม,işlem ücreti,комісія за транзакцію,phí giao dịch,
Transaction History API,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction ID,مُعرفّ المعاملة,交易 ID,交易ID,transactie-ID,ID de transaction,Transaktions-ID,ID συναλλαγής,lambar shaidar ma'amala,Transaction ID,tranzakció-azonosító,ID transaksi,ID transazione,トランザクションID,트랜잭션 ID,شناسه تراکنش,ID transaksi,Unique code for every transaction,ID transakcji,ID da transação,ID tranzacție,ID транзакции,ID de transacción,ID ng transaksyon,ID ธุรกรรม,işlem kimliği,ID транзакції,ID giao dịch,
transaction pool,تجمع المعاملات,交易池,交易池,transactiepool,pool de transactions,Transaktionspool,ομάδα συναλλαγών,tafkin ma'amala,transaction pool,tranzakciós készlet,pool transaksi,pool transazione,トランザクションプール,트랜잭션 풀,استخر تراکنش,kolam transaksi,payment queue,pula transakcji,conjunto de transações,pool de tranzacții,пул транзакций,grupo de transacciones,pool ng transaksyon,พูลธุรกรรม,işlem havuzu,пул транзакцій,bể nhớ giao dịch,
Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,Transak,
Transfer,تحويل,转账,轉帳,overdragen,Transférer (verbe),Übertragen,Transfer (Μεταφορά),Canja wurin,ट्रांसफर (वर्ब),átvinni,Memindahkan,"
Trasferire",送金,전송(동사),انتقال دادن,Pindahkan,Send,Przenieś,Transferir,Transferă,Перевести,transferir,Maglipat (pandiwa),โอน,Transfer et,Трансфер,Chuyển (động từ),
Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,Trezor,
Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,Truffle,
trustless,لا يتطلب ثقة,去信任,去信任化,trustless,sans confiance,Vertrauenslos,αναξιοπιστία,ba dole a amince,ट्रस्टलैस (trustless),trustless,tidak tepercaya,trustless,トラストレス,무신뢰,بدون نیاز به اعتماد,trustless,nobody fit cheat the system,Nieopierające się na zaufaniu,sem necessidade de confiança,trustless,трастлесс,sin verificación de confianza,hindi kailangan ng tiwala,ไม่ต้องไว้วางใจ,güvensiz,«без доверия»,không cần sự tin tưởng,
Turing-complete,تورنج كاملة,图灵完备,圖靈完備,turingvolledig,Turing-complet,Turing-Complete,Turing-complete (Τούρινγκ υπολογιστικά καθολικό),Turing-cikakke,ट्यूरिंग (Turing)-कम्पलीट,Turing-teljes,Turing-complete,Turing equivalenza,チューリング完全,튜링완전,تورینگ کامل,Lengkap Turing,a computer wey fit do anything,Kompletność Turinga,Turing completo,Turing-complet,Полный по Тьюрингу,Turing completo,Turing-kumpleto,สมบูรณ์ตามแบบทัวริง,Turing bütünlüğü,Повна за Тьюрингом,ngôn ngữ Turing hoàn chỉnh,
Tutorial,درس تعليمي,教程,教學影片,tutorial,Tutoriel,Tutorial,Μαθήματα,Koyarwa,ट्यूटोरियल,oktatóanyag,Tutorial,Tutorial,チュートリアル,튜토리얼,آموزش,Tutorial,Tutorial,Samouczek,Tutorial,Tutorial,Руководство,tutorial,Pagtuturo,บทแนะนำ,Öğretici,Підручник,Hướng dẫn,
TVL,إجمالي القيمة المحتجزة (TVL),总锁仓价值（TVL）,鎖幣總值,TVL (total value locked),Valeur totale verrouillée (TVL),Total Value Locked (TVL),Κλειδωμένη συνολική τιμή (TVL),Jimlar Kudin da ke Ajiye,टोटल वैल्यू लॉक्ड (TVL),teljes zárolt érték (TVL),Total Nilai Dikunci (TVL),Valore totale bloccato (TVL),預かり資産額 (TVL),락업자산가치,ارزش کل سرمایه قفل شده  (TVL),Jumlah Nilai Terkunci (TVL),Total value of crypto wey dey locked up,TVL – Total Value Locked (całkowita zablokowana wartość),Valor total bloqueado (TVL),Valoare totală blocată (TVL),Общая заблокированная стоимость (TVL),valor total bloqueado (TVL),Total Value Locked (TVL),มูลค่ารวมในระบบ (TVL),Kilitli Toplam Değer (TVL),Загальна заблокована вартість (TVL),Tổng giá trị đã khoá (TVL),
TXID,مُعرفّ المعاملة (TXID),交易 ID,交易 ID,TXID,TXID,TXID,TXID,Lambar Shaidar Ma'amala,TXID,TXID,TXID,TXID,TXID,TXID,شناسه تراکنش,TXID,Unique code for every transaction,TXID,TXID,TXID,TXID,ID de transacción,TXID,TXID,TXID,TXID,TXID,
U2F,المعامل الثاني الشامل (U2F),U2F（通用第二因素）,通用第二因素,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,U2F,Evrensel 2. Faktör (U2F),U2F,U2F,
unencrypted key,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Unswap,Uniswap,Uniswap,Uniswap,유니스왑,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,
Unknown,مجهول,未知,未知,onbekend,Inconnu,Unbekannt,Unknown (Άγνωστο),Ba a sani ba,अज्ञात,ismeretlen,Tidak dikenal,Sconosciuto,不明な,알 수 없음,ناشنناخته,Tidak diketahui,Unknown,Nieznane,Desconhecida,Necunoscut,Неизвестно,desconocido/a,Hindi kilala,ไม่รู้จัก,Bilinmeyen,Невідомий,Không xác định,
Unlock,إلغاء القفل,解锁,解鎖,ontgrendelen,Déverrouiller,Entsperren ,Unlock (Ξεκλείδωμα),Buɗe,अनलॉक करें ,kinyitni,Buka,Sblocca,ロックを解除,잠금해제,باز کردن,Buka,Unlock,Odblokuj,Desbloquear,Deblochează ,Разблокировать ,desbloquear,I-unlock,ปลดล็อก,Kilidini aç,Розблокувати ,Mở khóa,
unspent transaction output,ناتج المعاملات غير المُنفقة,未花费的交易输出,未花費交易輸出,unspent transaction output,sortie de transaction non utilisée,Unspent Transaction Output,αδιάθετη έξοδος συναλλαγής,sakin mu'amala da ba a kashe ba (UTXO),unspent transaction output,felhasználatlan tranzakció kimenet,output transaksi yang tidak digunakan,output di una transazione non spesa,未使用トランザクションアウトプット,미사용 트랜잭션 출력값,خروجی خرج‌نشده تراکنش,output transaksi tidak dibelanjakan,small pieces of money wey you fit use again,Unspent Transaction Output,saída de transação não gasta,rezultatul tranzacției necheltuite,вывод неизрасходованных транзакций,salida de transacción no gastada,unspent transaction output,เอาต์พุตธุรกรรมที่ยังไม่ใช้จ่าย,harcanmamış işlem çıktısı,вихід невитрачених транзакцій,đầu ra giao dịch chưa được sử dụng,
unstake,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,تحديث ,升级,更新,bijwerken,Mettre à jour,Aktualisieren,Update (Ενημέρωση),Ingantawa,अपडेट (वर्ब),frissíteni,Perbarui (verb),Aggiorna (verb),更新 / アップデート,업데이트(동사),به‌روزرسانی کردن,Kemas kini,Update,Aktualizuj,Atualizar,Actualizează,Обновить,actualizar,I-update (pandiwa),อัปเดต,Güncelle,Оновити,Cập nhật (động từ),
upgrade,ترقية,升级,升級,upgraden,mise à niveau / mettre à niveau,Upgrade,αναβάθμιση,ingantawa,अपग्रेड,frissíteni,upgrade,upgrade,アップグレード,업그레이드,ارتقا,naik taraf,Improvement or Software Update,Aktualizacja,upgrade,upgrade,апгрейд,actualizar,mag-upgrade,อัปเกรด,yükselt,оновити,nâng cấp,
URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,
USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,
UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO (αδιάθετη έξοδος συναλλαγής),Sakin Mu'amala da Ba a Kashe Ba,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,small pieces of money wey you fit use again,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,
validator,المُدققّ,验证器,區塊鏈驗證人,validator,validateur,Validator,εγκριτής,masu tabbatarwa,वैलिडेटर,érvényesítő,validator,validatore,バリデーター,밸리데이터,اعتبارسنج,pengesah,Person wey dey check if transaction correct,Walidator,validador,validator,валидатор,validador,nagpapatibay,ผู้ตรวจสอบ,doğrulayıcı,валідатор,người xác thực,
validity proof,إثبات الصلاحية,有效性证明,有效證明,bewijs van geldigheid,preuve de validité,Gültigkeitsnachweis,απόδειξη εγκυρότητας,shaidar tabbatarwa,वैलिडिटी प्रूफ,érvényességi igazolás,bukti validitas,prova di validazione,有効性証明,유효성 증명,اثبات اعتبار,bukti kesahihan,Proof wey show say transaction correct,Dowód ważności,prova de validação,dovada validității,доказательство действительности,prueba de validez,katibayan ng bisa,หลักฐานยืนยัน,geçerlilik ispatı,підтвердження достовірності,bằng chứng hợp lệ,
Validium,Validium,Validium 扩容技术,Validium,Validium,Validium,Validium,Validium (δεδομένα εκτός αλυσίδας),Validium,वैलिडियम,Validium,Validium,Validium,バリディウム,발리디움,ولیدیوم,Validium,Validium,Validium,Validium,Validium,Validium,Validium,Validium,Validium,Validium,Validium,Giải pháp Validium,
Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Déchiffreur de coffre-fort,Vault Decryptor,Κενή μονάδα αποκρυπτογράφησης,Mai Cire Sirrin Vault,वॉल्ट डिक्रिप्टर,Boltozat dekódoló,Dekriptor Vault,Vault Decryptor,Vault Decryptor,볼트 암호해독기,Vault Decryptor,Vault Decryptor,Tool wey fit open your crypto safe,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Şifre Çözücü,Vault Decryptor,Vault Decryptor,
vesting,استحقاق,等待行权,限量交易,vesting/wacht-,Acquisition,Vesting,Περιορισμός πώλησης,Rarraba alamar da aka tsara,वेस्टिंग,vesting,Vesting,Vesting,ベスティング,베스팅,توزیع برنامه‌ریزی شده توکن,Peletakhakan,To hold your token for some time before you sell,Vesting,Vesting,Vesting,Вестинг,bloqueo de tokens,Vesting,ทยอยให้ตามเวลา,Vesting,Вестинг,Khoá,
VillageDAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallet,محفظة,钱包,錢包,wallet,portefeuille,Wallet,πορτοφόλι,Walat,वॉलेट,pénztárca,dompet,portafoglio,ウォレット,지갑,کیف پول,dompet,Place wey you dey keep your crypto,Portfel,carteira,portofel,кошелек,monedero,wallet,วอลเล็ต,cüzdan,гаманець,ví,
wallet address,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,
Web 3.0,الويب 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,웹 3.0,وب 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,เว็บ 3.0,Web 3.0,Web 3.0,Web 3.0,
