Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
unencrypted key,مفتاح غير مشفر,未加密密钥,未加密金鑰,sleutel zonder encryptie,clé en clair,Unverschlüsselter Schlüssel,μη κρυπτογραφημένο κλειδί,makullin da ba a ɓoye ba,अनएनक्रिप्टेड की,nem titkosított kulcs,kunci tidak terenkripsi,chiave non crittografata,非暗号化鍵,암호화되지 않은 키,کلید رمزگذاری نشده,kunci tidak terenkripsi,key wey anybody fit see,klucz niezaszyfrowany,chave não criptografada,cheie necriptată,незашифрованный ключ,clave no cifrada,hindi naka-encrypt na key,คีย์ไม่เข้ารหัส,şifrelenmemiş anahtar,незашифрований ключ,khóa không được mã hóa,unencrypted key
Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Unswap,Uniswap,Uniswap,Uniswap,유니스왑,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap,Uniswap
unspent transaction output,ناتج المعاملات غير المُنفقة,未花费的交易输出,未花費交易輸出,unspent transaction output,sortie de transaction non utilisée,Unspent Transaction Output,αδιάθετη έξοδος συναλλαγής,sakin mu'amala da ba a kashe ba (UTXO),अनस्पेंट ट्रांसेक्शन आउटपुट,felhasználatlan tranzakció kimenet,output transaksi yang tidak digunakan,output di una transazione non spesa,未使用トランザクションアウトプット,미사용 트랜잭션 출력값,خروجی خرج‌نشده تراکنش,output transaksi tidak dibelanjakan,small pieces of money wey you fit use again,unspent transaction output,saída de transação não gasta,rezultatul tranzacției necheltuite,вывод неизрасходованных транзакций,salida de transacción no gastada,unspent transaction output,เอาต์พุตธุรกรรมที่ยังไม่ใช้จ่าย,harcanmamış işlem çıktısı,вихід невитрачених транзакцій,đầu ra giao dịch chưa được sử dụng,unspent transaction output
unstake,إلغاء التخزين,解除质押,解質押,unstaken,déstaker,Nicht mehr staken,ακύρωση πονταρίσματος,cire jarinka,अनस्टेक,kivonás,batalkan staking,sblocca,ステーキングを解除,언스테이크,خروج از استیک,menarik balik pegangan,commot your stake,wycofanie ze stakingu,retirar de staking,(a face) unstake,отменить стейкинг,dejar de hacer staking,tanggalin sa pagkakataya,เลิกฝาก,unstake etmek,розблокувати ставку,hủy ký gửi,unstake
upgrade,ترقية,升级,升級,upgraden,mise à niveau / mettre à niveau,Upgrade,αναβάθμιση,ingantawa,अपग्रेड,frissíteni,upgrade,upgrade,アップグレード,업그레이드,ارتقا,naik taraf,improvement or software update,aktualizacja,upgrade,upgrade,апгрейд,actualizar,mag-upgrade,อัปเกรด,yükselt,оновити,nâng cấp,upgrade
URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL
USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO
validator,المُدققّ,验证器,區塊鏈驗證人,validator,validateur,Validator,εγκριτής,masu tabbatarwa,वैलिडेटर,érvényesítő,validator,validatore,バリデーター,밸리데이터,اعتبارسنج,pengesah,person wey dey check if transaction correct,walidator,validador,validator,валидатор,validador,nagpapatibay,ผู้ตรวจสอบ,doğrulayıcı,валідатор,người xác thực,validator
validity proof,إثبات الصلاحية,有效性证明,有效證明,bewijs van geldigheid,preuve de validité,Gültigkeitsnachweis,απόδειξη εγκυρότητας,shaidar tabbatarwa,वैलिडिटी प्रूफ,érvényességi igazolás,bukti validitas,prova di validazione,有効性証明,유효성 증명,اثبات اعتبار,bukti kesahihan,proof wey show say transaction correct,dowód ważności,prova de validação,dovada validității,доказательство действительности,prueba de validez,katibayan ng bisa,หลักฐานยืนยัน,geçerlilik ispatı,підтвердження достовірності,bằng chứng hợp lệ,validity proof
vesting,الاستحقاق,等待行权,限量交易,vesting/wacht-,acquisition,Vesting,Περιορισμός πώλησης,rarraba alamar da aka tsara,वेस्टिंग,vesting,vesting,vesting,ベスティング,베스팅,توزیع برنامه‌ریزی شده توکن,pemegangan berperingkat,to hold your token for some time before you sell,vesting,vesting,vesting,вестинг,bloqueo de tokens,vesting,ทยอยให้ตามเวลา,vesting,вестинг,phát hành theo tiến độ,vesting
VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO,VillageDAO
wallet,محفظة,钱包,錢包,wallet,portefeuille,Wallet,πορτοφόλι,Walat,वॉलेट,pénztárca,dompet,portafoglio,ウォレット,지갑,کیف پول,dompet,place wey you dey keep your crypto,Portfel,carteira,portofel,кошелек,billetera,wallet,วอลเล็ต,cüzdan,гаманець,ví,wallet
wallet address,عنوان المحفظة,钱包地址,錢包地址,walletadres,adresse de portefeuille,Wallet-Adresse,διεύθυνση πορτοφολιού,adireshin walat,वॉलेट एड्रेस,tárca címe,alamat wallet,indirizzo del wallet,ウォレットアドレス,지갑 주소,آدرس کیف پول,alamat dompet,address for wallet,adres portfela,endereço da carteira,adresa portofelului,адрес кошелька,dirección de monedero,address ng wallet,ที่อยู่วอลเล็ต,cüzdan adresi,адреса гаманця,địa chỉ ví,wallet address
WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect
Web 3.0,الويب 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,웹 3.0,وب 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0,เว็บ 3.0,Web 3.0,Web 3.0,Web 3.0,Web 3.0
Web3,ويب 3,Web3,Web3,Web3,Web3,Web3,Web3,Web3,Web3,Web3,Web3,Web3,Web3,웹3,وب3,Web3,Web3,Web3,Web3,Web3,Web3,Web3,Web3,เว็บ 3,Web3,Web3,Web3,Web3
web3,ويب 3,Web3,Web3,web3,web3,web3,web3,web3,web3,web3,web3,web3,web3,웹3,وب 3,web3,web3,web3,web3,web3,web3,web3,web3,เว็บ 3,web3,web3,web3,web3
WebHID,واجهة برمجة تطبيقات WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID
webhook,خطّاف الويب,网络钩子,webhook,webhook,alerte automatisée,Webhook,webhook,saƙo na atomatik da ke haɗa aikace-aikace,webhook,webhook,webhook,webhook,webhook,웹훅,وب‌هوک,cangkuk web,automatic message wey dey connect apps,webhook,webhook,webhook,вебхук,webhook,webhook,เว็บฮุก,web kancası,вебхук,lệnh gọi lại HTTP do người dùng xác định,webhook
WebSocket,بروتوكول WebSocket,WebSocket,WebSocket,WebSocket,Websocket,WebSocket,WebSocket,WebSocket,वेबसॉकेट,WebSocket,WebSocket,WebSocket,WebSocket,웹소켓,وب‌سوکت,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket
wei,وي (wei),wei,wei,wei,wei,wei,wei,wei,wei,wei,wei,wei,wei,웨이,وی,wei,smallest unit for ethereum token,wei,wei,wei,вей,wei,wei,เวย์,wei,вей,wei,wei
whitepaper,الورقة التعريفية,白皮书,白皮書,whitepaper,livre blanc,Whitepaper,λευκή βίβλος (μεταφορικά),takardar bayani mai zurfi kan aiki,वाइटपेपर,fehér könyv,whitepaper,whitepaper,ホワイトペーパー,백서,گزارش جامع,kertas putih,document wey explain new crypto project,artykuł / opracowanie,whitepaper,whitepaper,белая книга,libro blanco,whitepaper,หนังสือชี้ชวน,teknik doküman,технічний документ,sách trắng,whitepaper
wrapping,تغليف التوكن,包装,包裝,verpakken,emballage,Wrapping,Αντιστοίχιση,rufe alamar,रैपिंग,becsomagolás,wrapping,wrapping,ラッピング,래핑,انتقال از یک شبکه به شبکه دیگر,membalut,converting one crypto to anoda format,wrapping,encapsulamento,wrapping,обертывание,envolver,wrapping,การห่อ,Sarma,обгортання,bao bọc,wrapping
Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre
XPRIV,المفتاح الخاص الممتد (XPRIV),扩展密钥（XPRIV）,擴展私鑰 (XPRIV),XPRIV (Extended Private Key),XPRIV,XPRIV,Εκτεταμένο ιδιωτικό κλειδί (XPRIV),Makullin Sirri na Faɗi,XPRIV,XPRIV,XPRIV,XPRIV,XPRIV,XPRIV,XPRIV,XPRIV,Master key wey you fit use generate all your other keys,XPRIV,XPRIV,XPRIV,XPRIV,XPRIV,XPRIV,XPRIV,Genişletilmiş Özel Anahtar,Розширений закритий ключ,XPRIV,XPRIV
XPUB,المفتاح العام الممتد (XPUB),扩展公钥（XPUB）,擴展公鑰 (XPUB),XPUB (Extended Public Key),XPUB,XPUB,Εκτεταμένο δημόσιο κλειδί (XPUB),Makullin Jama'a na Faɗi,XPUB,SPUB,XPUB,XPUB,XPUB,XPUB,XPUB,XPUB,Special kind of key wey fit generate plenty addresses for your crypto wallet,XPUB,XPUB,XPUB,XPUB,clave pública extendida,XPUB,XPUB,Genişletilmiş Genel Anahtar,Розширений відкритий ключ,XPUB,XPUB
yield farming,تحصيل العائد,收益挖矿,流動性挖礦,yield farming,yield farming,Yield Farming,εξόρυξη ρευστότητας,hanyar samun riba a kan crypto,यील्ड फार्मिंग,hozamgazdálkodás,yield farming,yield farming,イールドファーミング,이자농사,کشت سود,pertanian hasil,Way wey you fit use earn rewards for crypto,Yield farming,yield farming,yield farming,фарминг доходности,yield farming,paglilinang ng ani,การทำฟาร์ม,yield farming,прибуткове фермерство,khai thác lợi nhuận,yield farming
yield-bearing tokens,التوكنات حاملة العائد,收益代币,配息代幣,yield-bearing tokens,jetons de yield farming,Ertragsbringende Token,συμβολικά νομίσματα με απόδοση,alamun da ke samar da riba,यील्ड-बियरिंग टोकन्स,hozamot hordozó tokenek,token yield-bearing,token fruttiferi,イールドベアリングトークン,이자지급토큰,توکن‌های سودده,token memberi hasil,Tokens wey dey give you rewards,Tokeny uzyskane w ramach yield farmingu,tokens de rendimento,tokeni yield-bearing,доходные токены,tokens de yield farming,mga token na nagbubunga,โทเคนรับผลประโยชน์จากการฟาร์ม,gelir üreten token,прибуткові токени,token tự sinh lãi,yield-bearing tokens
zero address,العنوان صفر,0地址,零地址,nuladres,adresse zéro,Null-Adresse,Μηδενική διεύθυνση,Adireshin Sifili,ज़ीरो एड्रेस,nulla cím,alamat nol,indirizzo zero,ゼロアドレス,제로 어드레스,آدرس صفر,alamat nol,Empty address wey no get any crypto,Adres zerowy,endereço zero,adresă zero,нулевой адрес,dirección cero,zero address,ที่อยู่สูญ,zero adres,нульова адреса,địa chỉ zero,zero address
zero-knowledge proof,إثبات المعرفة الصفرية,零知识证明,零知識證明,zero-knowledge proof,preuve à divulgation nulle de connaissance (ZKP),Null-Wissen-Beweis,Απόδειξη μηδενικής γνώσης,tabbacin Ilimi sifili,ज़ीरो-नॉलेज प्रूफ,zéróismeretes bizonyítás,bukti nol pengetahuan,dimostrazione a conoscenza zero,ゼロ知識証明,영지식 증명,اثبات دانش صفر,bukti tanpa pengetahuan,proof wey no show any extra info,dowód z wiedzą zerową,prova de conhecimento zero,dovadă cunoștințe zero,доказательство с нулевым разглашением,prueba de conocimiento cero,patunay na hindi magbibigay ng kaalaman,การพิสูจน์โดยไม่ต้องรู้ข้อมูล,sıfır bilgi ispatı,доведення з нульовим розголошенням,bằng chứng không kiến thức,zero-knowledge proof
zero-knowledge rollup,تجميع المعرفة الصفرية,零知识汇总,零知識匯總,zero-knowledge rollup,rollup à divulgation nulle de connaissance (rollup ZK),Null-Wissen-Rollup,rollup μηδενικής γνώσης,juyin ilimin sifili,ज़ीरो-नॉलेज रॉलअप,zéróismeretes rollup,rollup nol pengetahuan,rollup a conoscenza zero,ゼロ知識ロールアップ,영지식 롤업,رول‌آپ‌ بی‌نیاز به دانش,penggabungan tanpa pengetahuan,rollup wey no reveal any secret,rollup z wiedzą zerową,rollup de conhecimento zero,rollup cunoștințe zero,роллап с нулевым разглашением,rollup de conocimiento cero,rollup na hindi magbibigay ng kaalaman,โรลล์อัปแบบไม่ต้องรู้ข้อมูล,sıfır bilgi rollup,роллап з нульовим розголошенням,tổng hợp không kiến thức,zero-knowledge rollup
zk-SNARKs,zk-SNARKs,零知识简洁非交互知识论证（zk-SNARK）,zk-SNARKs,zk-SNARK's,zk-SNARKs,zk-SNARKs,zk-SNARKs (μη διαδραστικές αποδείξεις μηδενικής γνώσης),zk-SNARKs,zk-SNARKs,zk-SNARKs,zk-ZSNAKRs,Argomento di conoscenza succinto non interattivo a conoscenza zero (zk-SNARKs),zk-SNARKs,영지식 스나크,گواه‌های اثبات دانش صفر غیرتعاملی,zk-SNARKs,zk-SNARKs,zk-SNARKs,zk-SNARKs,zk-SNARKs,Протоколы zk-SNARK,zk-SNARKs,zk-SNARKs,zk-SNARKs,zk-SNARK'lar,zk-SNARKs,zk-SNARK,zk-SNARKs
0xplain,0xplain,0xplain,0xplain,0xplain,Oxplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain,0xplain
